timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,,,
2.22905E+11,-2,2,-1,-1,-2,-1,-2,-5,97,,
2.22905E+11,-4,-5,-2,-1,-1,0,2,0,98,,
2.22905E+11,1,1,-2,-2,-1,0,1,3,99,,
2.22905E+11,0,-3,0,0,-1,-1,-2,-1,100,,
2.22905E+11,-1,-1,-3,-1,0,-5,-1,-2,101,,
2.22905E+11,1,0,2,2,-2,-1,0,0,102,,
2.22905E+11,-2,-2,-2,-1,0,-2,-2,-2,103,,
2.22905E+11,-2,-1,-2,-2,-2,-2,1,2,104,,
2.22905E+11,-1,0,0,-1,0,1,-1,-3,105,,
2.22905E+11,0,-1,-1,-1,0,-2,-1,0,106,,
2.22905E+11,2,-1,0,-1,-1,-1,0,0,107,,
2.22905E+11,-1,3,2,1,-1,-1,0,0,108,,
2.22905E+11,1,-4,-3,0,-1,-1,0,-2,109,,
2.22905E+11,-2,0,0,0,0,-1,0,0,110,,
2.22905E+11,0,0,2,0,-2,-1,-1,-1,111,,
2.22905E+11,-1,0,-2,-1,1,1,-1,-2,112,,
2.22905E+11,1,0,1,-1,1,0,1,4,113,,
2.22905E+11,1,0,-2,-3,-2,-1,-3,0,114,,
2.22905E+11,-2,-4,-3,-1,1,-2,0,1,115,,
2.22905E+11,-3,0,0,0,-1,-1,0,2,116,,
2.22905E+11,-1,-2,-1,-1,-3,1,1,-3,117,,
2.22905E+11,1,2,0,1,-1,0,0,-3,118,,
2.22905E+11,0,-1,-1,-1,-1,-1,-1,-1,119,,
2.22905E+11,-1,-3,0,0,-1,-2,0,1,120,,
2.22905E+11,-5,-4,-4,-3,-1,-1,-2,-2,121,,
2.22905E+11,-1,0,0,-2,-3,-3,0,-2,122,,
2.22905E+11,0,-2,-3,-2,-2,-1,-3,-2,123,,
2.22905E+11,0,-1,2,0,-1,0,-2,-4,124,,
2.22905E+11,-2,-3,-2,0,0,-2,1,0,125,,
2.22905E+11,-2,-6,-2,-2,0,-1,-1,-2,126,,
2.22905E+11,-3,2,0,-1,0,0,0,-1,127,,
2.22905E+11,2,0,-1,-2,-2,-3,-2,1,128,,
2.22905E+11,2,2,-1,-1,-2,0,1,4,129,,
2.22905E+11,-2,-4,-2,0,0,-1,-1,-2,130,,
2.22905E+11,-2,0,0,0,-1,-2,1,0,131,,
2.22905E+11,-3,-2,-3,-1,-3,1,-1,-2,132,,
2.22905E+11,0,0,2,1,-2,0,-1,2,133,,
2.22905E+11,1,2,-3,-2,0,0,1,1,134,,
2.22905E+11,-1,0,1,2,-1,0,-2,-1,135,,
2.22905E+11,-1,0,-2,0,0,0,-2,-3,136,,
2.22905E+11,1,-1,0,-2,-1,0,-1,-2,137,,
2.22905E+11,-4,-4,0,-1,0,-1,0,-2,138,,
2.22905E+11,1,-2,-1,-1,-1,-2,-1,0,139,,
2.22905E+11,0,1,-2,0,-1,0,-1,-1,140,,
2.22905E+11,-2,0,-2,0,-1,-2,-2,-1,141,,
2.22905E+11,1,-1,0,1,-3,-1,-3,1,142,,
2.22905E+11,-1,0,-3,-2,-2,0,0,1,143,,
2.22905E+11,-3,-2,-2,-1,0,-2,-1,-4,144,,
2.22905E+11,0,1,1,0,0,0,0,1,145,,
2.22905E+11,0,2,1,0,-1,-1,-1,0,146,,
2.22905E+11,1,-2,-1,0,0,0,0,2,147,,
2.22905E+11,-5,-4,-2,0,-1,-3,-3,-4,148,,
2.22905E+11,-2,2,0,0,-1,-1,1,0,149,,
2.22905E+11,-1,2,1,1,0,1,-2,2,150,,
2.22905E+11,-3,-3,-2,-1,-1,-2,1,-2,151,,
2.22905E+11,1,0,-1,0,-1,-1,1,3,152,,
2.22905E+11,-2,-2,0,0,1,-2,0,-1,153,,
2.22905E+11,0,2,0,0,0,-1,0,-2,154,,
2.22905E+11,0,-1,-1,-1,0,0,-2,-1,155,,
2.22905E+11,-2,-2,-2,-1,-3,-2,0,-4,156,,
2.22905E+11,2,2,2,0,0,0,-1,-1,157,,
2.22905E+11,-1,-6,-3,-1,-2,2,1,0,158,,
2.22905E+11,-1,3,1,0,0,1,-3,-5,159,,
2.22905E+11,-1,-2,-1,-3,-1,-1,-1,0,160,,
2.22905E+11,-2,-2,-2,-2,-2,-1,-2,-3,161,,
2.22905E+11,0,2,-2,0,0,-1,0,-1,162,,
2.22905E+11,1,-2,-2,-1,0,1,-1,-1,163,,
2.22905E+11,0,2,1,0,-1,-1,-1,2,164,,
2.22905E+11,-1,0,-2,0,0,-3,-2,-1,165,,
2.22905E+11,1,-2,-2,-2,-1,-3,-1,0,166,,
2.22905E+11,0,-2,-2,0,0,-3,-2,1,167,,
2.22905E+11,1,-3,-2,0,0,-1,0,1,168,,
2.22905E+11,-5,-1,-1,-2,-1,0,-2,-2,169,,
2.22905E+11,0,-3,-3,0,-1,-2,0,-1,170,,
2.22905E+11,1,2,-1,0,-1,-1,1,0,171,,
2.22905E+11,-2,-2,1,-1,-1,0,-1,-4,172,,
2.22905E+11,-1,3,1,0,-2,0,1,1,173,,
2.22905E+11,-2,-2,-2,-1,0,-2,-1,-2,174,,
2.22905E+11,-2,-1,0,-1,-2,0,2,0,175,,
2.22905E+11,-1,1,-3,-1,-1,0,-1,2,176,,
2.22905E+11,0,-2,-3,0,0,0,0,0,177,,
2.22905E+11,-1,2,1,-1,0,1,-4,0,178,,
2.22905E+11,-1,-3,-4,0,-1,-2,-1,-1,179,,
2.22905E+11,0,-1,-2,0,-1,-1,-1,2,180,,
2.22905E+11,-2,-1,0,0,-1,-1,-2,-2,181,,
2.22905E+11,-3,-1,-1,0,-1,0,-2,-2,182,,
2.22905E+11,-1,-1,1,0,-1,-1,0,1,183,,
2.22905E+11,-2,-1,-1,-1,-1,0,0,0,184,,
2.22905E+11,-4,-6,-3,-2,-1,0,-1,-1,185,,
2.22905E+11,1,1,0,-2,-2,0,-2,-2,186,,
2.22905E+11,-2,0,-1,-2,-1,1,-1,0,187,,
2.22905E+11,1,2,-1,-1,-2,0,-1,1,188,,
2.22906E+11,1,1,2,1,-1,-2,1,-1,189,,
2.22906E+11,-4,-3,-1,-3,-1,0,1,1,190,,
2.22906E+11,0,-3,-1,-1,0,-1,-2,0,191,,
2.22906E+11,-1,-2,-3,-2,-1,-1,-1,-1,192,,
2.22906E+11,1,0,-1,-1,-1,1,0,0,193,,
2.22906E+11,-1,0,1,2,-1,-3,-1,0,194,,
2.22906E+11,0,2,0,0,-2,-1,-2,-5,195,,
2.22906E+11,-2,-3,0,0,0,0,-1,-3,196,,
