timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
222717102608,-40,-9,-3,-2,-2,-1,-4,-1
222717104129,12,-13,-7,-3,-3,-3,-2,6
222717104129,-5,0,-3,-2,-1,0,0,0
222717117503,-3,-5,-5,-7,-1,2,3,6
222717117503,-2,3,0,-2,0,-2,-3,-2
222717119114,2,9,5,2,1,-3,-1,2
222717119114,3,0,-3,-2,0,0,1,-4
222717131826,-13,-6,-3,-2,-1,-1,1,-2
222717131826,22,4,0,-1,-1,3,8,-4
222717138770,-11,-2,1,-1,0,-1,-7,3
222717138770,8,-1,-1,-2,-3,-2,-4,-4
222717155641,-10,-2,0,-1,-1,-1,0,-2
222717155641,8,3,-2,-4,-2,-1,0,1
222717157249,15,5,1,0,1,1,3,5
222717157249,-44,-17,-5,-2,-2,-1,-2,-9
222717177334,-2,-4,-2,-1,-1,-3,-4,9
222717177334,7,0,0,-1,-2,-2,-5,2
222717183784,-4,9,3,2,0,-1,1,-1
222717183784,2,-5,-3,-1,-2,0,5,9
222717191963,18,1,-1,-1,0,1,2,-3
222717191963,7,0,1,1,1,1,2,2
222717198694,8,-6,-6,-4,-3,-4,-9,2
222717198694,-4,-9,-5,-1,0,-1,1,-9
222717215616,-13,6,0,-1,0,-2,0,-3
222717215616,-9,9,8,2,0,1,-1,1
222717217228,62,-15,-11,-7,-6,-4,-1,0
222717217228,1,3,1,2,0,1,-4,1
222717237565,-4,1,1,0,-1,1,-3,-2
222717237565,-3,-1,-3,-2,-2,-2,-3,0
222717239183,-32,-1,3,1,2,-1,1,-2
222717239183,10,2,-1,-1,-2,-3,-2,1
222717251742,-2,0,0,-2,0,0,-1,-3
222717251742,1,-4,-4,-2,-1,-1,-1,-2
222717260143,-6,-3,-2,0,1,1,3,0
222717260143,7,0,-2,-1,-1,1,-2,-1
222717275025,13,18,6,-1,0,1,2,2
222717275025,-13,-3,3,3,0,-2,-7,-6
222717276651,20,-6,-7,-5,-5,-2,-6,1
222717276651,0,-3,-2,-1,-2,-3,-12,11
222717297453,0,-4,-2,2,-1,-3,-2,1
222717297453,15,4,-1,1,0,0,0,1
222717299105,-23,2,1,0,-2,0,0,-14
222717299105,3,-10,-6,-5,-2,-1,4,-6
222717311121,5,-7,-3,-2,0,0,-2,2
222717311121,9,-1,-3,-3,-3,-2,-2,0
222717320166,-27,5,4,5,1,2,4,-1
222717320166,0,-1,-4,-2,-3,-3,0,-3
222717335106,-5,-3,-1,-1,0,0,-1,-3
222717335106,1,-6,-3,-2,-1,-2,1,-4
222717336682,-2,1,1,0,-2,1,2,3
222717336682,16,13,6,2,0,1,2,-1
222717357482,-12,-10,-2,-1,-2,-3,-6,-2
222717357482,-9,-5,-4,-2,-2,-1,-2,2
222717359060,10,2,0,-1,3,-1,2,0
222717359060,-7,3,2,0,1,-1,1,2
222717371173,-12,-1,-2,-1,-1,0,0,-5
222717371173,16,-1,-1,-1,-1,-1,-2,3
222717380126,-14,-6,-2,-1,-1,0,0,-2
222717380126,12,10,3,2,0,-1,2,-1
222717395137,-18,-2,-2,-3,-1,2,5,1
222717395137,16,7,4,0,-1,-1,-1,2
222717396605,-41,-25,-7,-5,-5,-2,-5,-8
222717396605,-2,-4,-5,-1,0,-1,-2,-3
222717417625,11,6,4,6,3,7,23,7
222717417625,17,10,5,10,12,17,30,21
222717419184,9,17,3,5,2,6,-6,10
222717419184,-13,-3,5,3,14,16,56,-3
222717431282,21,-23,-2,-3,-23,-4,51,23
222717431282,15,24,10,11,11,20,-70,49
222717440108,-31,-14,-22,-28,-17,-57,-95,-78
222717440108,-8,0,-4,-8,-9,-29,-57,15
222717454984,38,27,6,-2,19,59,97,83
222717454984,-59,-64,-33,-13,-11,-63,-68,-16
222717456587,-72,-38,-62,-62,-61,-83,-59,-52
222717456587,36,-16,2,6,1,27,65,35
222717478245,11,25,23,25,34,48,93,67
222717478245,101,62,58,49,30,93,127,127
222717479807,-8,-42,-15,16,37,22,-16,39
222717479807,-41,-75,-46,-42,-75,-109,-113,-128
222717500134,38,55,8,-7,-22,34,32,49
222717500134,16,-17,-11,-28,-2,34,10,49
222717501712,58,127,44,16,-15,-49,-53,-61
222717501712,-105,-73,4,6,22,19,59,-53
222717515021,-17,-9,-14,-3,-22,-77,-128,-75
222717515021,1,-98,-9,16,36,56,69,56
222717516575,74,91,46,31,9,52,51,76
222717516575,-25,-65,-50,-11,38,14,-50,-3
222717537650,33,91,19,-18,-14,-66,-20,53
222717537650,5,27,5,-16,-32,-39,-31,37
222717539202,10,-104,-35,0,10,60,111,23
222717539202,64,30,18,20,4,20,-30,84
222717543599,-63,1,-17,-4,26,9,-54,-128
222717543599,-42,-41,-27,-26,-59,-113,-101,-128
222717552619,6,10,19,9,60,109,103,97
222717552619,14,47,29,13,-21,12,87,5
222717566291,-36,-53,-27,-22,-24,-36,-9,-5
222717566291,7,9,1,1,10,7,-61,-69
222717575120,-4,-25,0,19,37,2,-6,-13
222717575120,35,13,17,24,18,40,109,88
222717588744,-38,-11,-17,-29,-40,-18,-68,-40
